"SlideFolder","File","SourceAIFF","Description"
"01_Anatomy-of-FM-preset","01_Carrier_almost-sine.mp3","demo_carrier_only.aiff","Carrier only (almost sine)"
"01_Anatomy-of-FM-preset","02_FM_operator-stack.mp3","demo_fm_stack.aiff","FM op to op stack"
"01_Anatomy-of-FM-preset","03_AM_LFO-tremolo.mp3","demo_am_lfo.aiff","AM / LFO tremolo"
"01_Anatomy-of-FM-preset","04_Feedback.mp3","demo_feedback.aiff","Feedback"
"02_SSG-EG_FB-ALG_AMS","01_Feedback_max.mp3","demo_feedback.aiff","Max feedback (same clip as anatomy FB)"
"02_SSG-EG_FB-ALG_AMS","02_AMS_tremolo.mp3","demo_am_lfo.aiff","AMS tremolo (same clip as anatomy AM)"
"03_Game-fingerprints_commit-vs-variety","01_Pulseman_Alg5.mp3","game_pulseman_con5_b0p894.aiff","Pulseman Alg.5 commitment"
"03_Game-fingerprints_commit-vs-variety","02_Thunder-Force-IV_Alg0.mp3","game_thunder_force_iv_con0_b0p67.aiff","Thunder Force IV Alg.0 variety"
"03_Game-fingerprints_commit-vs-variety","03_Gunstar-Heroes_Alg5.mp3","game_gunstar_heroes_con5_b0p634.aiff","Gunstar Heroes Alg.5"
"03_Game-fingerprints_commit-vs-variety","04_Streets-of-Rage-3_Alg2.mp3","game_streets_of_rage_3_con2_b0p579.aiff","Streets of Rage 3 Alg.2"
"04_Brightness-by-game_sweet-spot","01_Batman-and-Robin_high-brightness.mp3","game_batman_and_robin_con0_b0p903.aiff","Batman & Robin high brightness"
"04_Brightness-by-game_sweet-spot","02_Pulseman_high-brightness.mp3","game_pulseman_con5_b0p894.aiff","Pulseman high brightness"
"04_Brightness-by-game_sweet-spot","03_Ristar_rounder.mp3","game_ristar_con3_b0p616.aiff","Ristar rounder"
"04_Brightness-by-game_sweet-spot","04_Sonic-3-and-Knuckles_rounder.mp3","game_sonic_3_and_knuckles_con5_b0p622.aiff","Sonic 3 & Knuckles rounder"
"05_Dark-outliers_warmth-over-bite","01_Spider-Man-and-X-Men.mp3","game_spider_man_and_x_men_con5_b0p3.aiff","Spider-Man / X-Men darker"
"05_Dark-outliers_warmth-over-bite","02_The-Tick.mp3","game_the_tick_con2_b0p444.aiff","The Tick darker"
"05_Dark-outliers_warmth-over-bite","03_Tinhead.mp3","game_tinhead_con4_b0p391.aiff","Tinhead darker"
"05_Dark-outliers_warmth-over-bite","04_Top-Gear-2.mp3","game_top_gear_2_con0_b0p514.aiff","Top Gear 2 darker"
"06_GEMS_different-FM-grammar","01_Nightmare-Circus_GEMS_Alg2-FL0.mp3","game_nightmare_circus_con2_fl0.aiff","Nightmare Circus GEMS Alg.2 FL0"
"06_GEMS_different-FM-grammar","02_Thunder-Force-IV_non-GEMS.mp3","game_thunder_force_iv_con0_b0p67.aiff","Thunder Force IV non-GEMS"
"07_Composer-signatures_four-voices","01_Koshiro_Streets-of-Rage_Alg4-FL7.mp3","composer_koshiro_con4_fl7_b0p747.aiff","Yuzo Koshiro / Streets of Rage"
"07_Composer-signatures_four-voices","02_Nakamura_Sonic_Alg4-FL7.mp3","composer_nakamura_con4_fl7_b0p562.aiff","Masato Nakamura / Sonic"
"07_Composer-signatures_four-voices","03_Kawaguchi_Golden-Axe_Alg5-FL7.mp3","composer_kawaguchi_con5_fl7_b0p585.aiff","Kawaguchi / Golden Axe"
"07_Composer-signatures_four-voices","04_Hanzawa_Gunstar-Heroes_Alg5-FL7.mp3","composer_hanzawa_con5_fl7_b0p626.aiff","Norio Hanzawa / Gunstar Heroes"
"08_Composer-Kodaka-outlier","01_Kodaka_Alg2-FL7.mp3","composer_kodaka_con2_fl7_b0p553.aiff","Naoki Kodaka Alg.2 outlier"
